index	tokens	token	true_label	predicted_label
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	by	I-focus	O
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	the	I-focus	O
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	Mongols	I-focus	O
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	the	O	I-focus
13	['How', 'did', 'Chinese', 'medicine', 'spread', '?', 'Chinese', 'physicians', 'were', 'brought', 'along', 'military', 'campaigns', 'by', 'the', 'Mongols', 'as', 'they', 'expanded', 'towards', 'the', 'west']	west	O	I-focus
14	['What', 'computational', 'problem', 'is', 'commonly', 'associated', 'with', 'prime', 'factorization', '?', 'The', 'integer', 'factorization', 'problem', 'is', 'the', 'computational', 'problem', 'of', 'determining', 'the', 'prime', 'factorization', 'of', 'a', 'given', 'integer']	The	B-focus	O
14	['What', 'computational', 'problem', 'is', 'commonly', 'associated', 'with', 'prime', 'factorization', '?', 'The', 'integer', 'factorization', 'problem', 'is', 'the', 'computational', 'problem', 'of', 'determining', 'the', 'prime', 'factorization', 'of', 'a', 'given', 'integer']	integer	I-focus	B-focus
15	['The', 'point', 'at', 'which', 'different', 'radiometric', 'isotopes', 'stop', 'diffusing', 'into', 'and', 'out', 'of', 'the', 'crystal', 'lattice', 'is', 'called', 'what', '?', 'For', 'many', 'geologic', 'applications', ',', 'isotope', 'ratios', 'of', 'radioactive', 'elements', 'are', 'measured', 'in', 'minerals', 'that', 'give', 'the', 'amount', 'of', 'time', 'that', 'has', 'passed', 'since', 'a', 'rock', 'passed', 'through', 'its', 'particular', 'closure', 'temperature', ',', 'the', 'point', 'at', 'which', 'different', 'radiometric', 'isotopes', 'stop', 'diffusing', 'into', 'and', 'out', 'of', 'the', 'crystal', 'lattice']	particular	B-focus	O
15	['The', 'point', 'at', 'which', 'different', 'radiometric', 'isotopes', 'stop', 'diffusing', 'into', 'and', 'out', 'of', 'the', 'crystal', 'lattice', 'is', 'called', 'what', '?', 'For', 'many', 'geologic', 'applications', ',', 'isotope', 'ratios', 'of', 'radioactive', 'elements', 'are', 'measured', 'in', 'minerals', 'that', 'give', 'the', 'amount', 'of', 'time', 'that', 'has', 'passed', 'since', 'a', 'rock', 'passed', 'through', 'its', 'particular', 'closure', 'temperature', ',', 'the', 'point', 'at', 'which', 'different', 'radiometric', 'isotopes', 'stop', 'diffusing', 'into', 'and', 'out', 'of', 'the', 'crystal', 'lattice']	closure	I-focus	B-focus
19	"['Civil', 'Disobedience', 'is', 'mainly', 'performed', 'by', 'what', 'population', 'group', '?', 'For', 'instance', ',', 'if', 'the', 'head', 'of', 'government', 'of', 'a', 'country', 'were', 'to', 'refuse', 'to', 'enforce', 'a', 'decision', 'of', 'that', 'country', ""'s"", 'highest', 'court', ',', 'it', 'would', 'not', 'be', 'civil', 'disobedience', ',', 'since', 'the', 'head', 'of', 'government', 'would', 'be', 'acting', 'in', 'her', 'or', 'his', 'capacity', 'as', 'public', 'official', 'rather', 'than', 'private', 'citizen']"	private	B-focus	O
19	"['Civil', 'Disobedience', 'is', 'mainly', 'performed', 'by', 'what', 'population', 'group', '?', 'For', 'instance', ',', 'if', 'the', 'head', 'of', 'government', 'of', 'a', 'country', 'were', 'to', 'refuse', 'to', 'enforce', 'a', 'decision', 'of', 'that', 'country', ""'s"", 'highest', 'court', ',', 'it', 'would', 'not', 'be', 'civil', 'disobedience', ',', 'since', 'the', 'head', 'of', 'government', 'would', 'be', 'acting', 'in', 'her', 'or', 'his', 'capacity', 'as', 'public', 'official', 'rather', 'than', 'private', 'citizen']"	citizen	I-focus	O
21	['An', 'MSP', 'may', 'introduce', 'a', 'bill', 'as', 'what', '?', 'Bills', 'can', 'be', 'introduced', 'to', 'Parliament', 'in', 'a', 'number', 'of', 'ways', ';', 'the', 'Scottish', 'Government', 'can', 'introduce', 'new', 'laws', 'or', 'amendments', 'to', 'existing', 'laws', 'as', 'a', 'bill', ';', 'a', 'committee', 'of', 'the', 'Parliament', 'can', 'present', 'a', 'bill', 'in', 'one', 'of', 'the', 'areas', 'under', 'its', 'remit', ';', 'a', 'member', 'of', 'the', 'Scottish', 'Parliament', 'can', 'introduce', 'a', 'bill', 'as', 'a', 'private', 'member', ';', 'or', 'a', 'private', 'bill', 'can', 'be', 'submitted', 'to', 'Parliament', 'by', 'an', 'outside', 'proposer']	a	B-focus	O
21	['An', 'MSP', 'may', 'introduce', 'a', 'bill', 'as', 'what', '?', 'Bills', 'can', 'be', 'introduced', 'to', 'Parliament', 'in', 'a', 'number', 'of', 'ways', ';', 'the', 'Scottish', 'Government', 'can', 'introduce', 'new', 'laws', 'or', 'amendments', 'to', 'existing', 'laws', 'as', 'a', 'bill', ';', 'a', 'committee', 'of', 'the', 'Parliament', 'can', 'present', 'a', 'bill', 'in', 'one', 'of', 'the', 'areas', 'under', 'its', 'remit', ';', 'a', 'member', 'of', 'the', 'Scottish', 'Parliament', 'can', 'introduce', 'a', 'bill', 'as', 'a', 'private', 'member', ';', 'or', 'a', 'private', 'bill', 'can', 'be', 'submitted', 'to', 'Parliament', 'by', 'an', 'outside', 'proposer']	private	I-focus	B-focus
22	['How', 'much', 'more', 'land', 'does', 'the', 'school', 'own', 'in', 'Allston', 'than', 'Cambridge', '?', 'The', 'university', 'now', 'owns', 'approximately', 'fifty', 'percent', 'more', 'land', 'in', 'Allston', 'than', 'in', 'Cambridge']	approximately	B-focus	O
22	['How', 'much', 'more', 'land', 'does', 'the', 'school', 'own', 'in', 'Allston', 'than', 'Cambridge', '?', 'The', 'university', 'now', 'owns', 'approximately', 'fifty', 'percent', 'more', 'land', 'in', 'Allston', 'than', 'in', 'Cambridge']	fifty	I-focus	B-focus
23	"['What', 'did', 'the', 'non-Afghan', 'veterans', 'returning', 'home', 'have', 'in', 'addition', 'to', 'their', 'prestige', '?', 'The', 'US', 'spent', 'billions', 'of', 'dollars', 'to', 'aid', 'the', 'mujahideen', 'Muslim', 'Afghanistan', 'enemies', 'of', 'the', 'Soviet', 'Union', ',', 'and', 'non-Afghan', 'veterans', 'of', 'the', 'war', 'returned', 'home', 'with', 'their', 'prestige', ',', '``', 'experience', ',', 'ideology', ',', 'and', 'weapons', ""''"", ',', 'and', 'had', 'considerable', 'impact']"	experience	O	B-focus
23	"['What', 'did', 'the', 'non-Afghan', 'veterans', 'returning', 'home', 'have', 'in', 'addition', 'to', 'their', 'prestige', '?', 'The', 'US', 'spent', 'billions', 'of', 'dollars', 'to', 'aid', 'the', 'mujahideen', 'Muslim', 'Afghanistan', 'enemies', 'of', 'the', 'Soviet', 'Union', ',', 'and', 'non-Afghan', 'veterans', 'of', 'the', 'war', 'returned', 'home', 'with', 'their', 'prestige', ',', '``', 'experience', ',', 'ideology', ',', 'and', 'weapons', ""''"", ',', 'and', 'had', 'considerable', 'impact']"	,	O	I-focus
23	"['What', 'did', 'the', 'non-Afghan', 'veterans', 'returning', 'home', 'have', 'in', 'addition', 'to', 'their', 'prestige', '?', 'The', 'US', 'spent', 'billions', 'of', 'dollars', 'to', 'aid', 'the', 'mujahideen', 'Muslim', 'Afghanistan', 'enemies', 'of', 'the', 'Soviet', 'Union', ',', 'and', 'non-Afghan', 'veterans', 'of', 'the', 'war', 'returned', 'home', 'with', 'their', 'prestige', ',', '``', 'experience', ',', 'ideology', ',', 'and', 'weapons', ""''"", ',', 'and', 'had', 'considerable', 'impact']"	ideology	O	I-focus
23	"['What', 'did', 'the', 'non-Afghan', 'veterans', 'returning', 'home', 'have', 'in', 'addition', 'to', 'their', 'prestige', '?', 'The', 'US', 'spent', 'billions', 'of', 'dollars', 'to', 'aid', 'the', 'mujahideen', 'Muslim', 'Afghanistan', 'enemies', 'of', 'the', 'Soviet', 'Union', ',', 'and', 'non-Afghan', 'veterans', 'of', 'the', 'war', 'returned', 'home', 'with', 'their', 'prestige', ',', '``', 'experience', ',', 'ideology', ',', 'and', 'weapons', ""''"", ',', 'and', 'had', 'considerable', 'impact']"	,	O	I-focus
23	"['What', 'did', 'the', 'non-Afghan', 'veterans', 'returning', 'home', 'have', 'in', 'addition', 'to', 'their', 'prestige', '?', 'The', 'US', 'spent', 'billions', 'of', 'dollars', 'to', 'aid', 'the', 'mujahideen', 'Muslim', 'Afghanistan', 'enemies', 'of', 'the', 'Soviet', 'Union', ',', 'and', 'non-Afghan', 'veterans', 'of', 'the', 'war', 'returned', 'home', 'with', 'their', 'prestige', ',', '``', 'experience', ',', 'ideology', ',', 'and', 'weapons', ""''"", ',', 'and', 'had', 'considerable', 'impact']"	and	O	I-focus
23	"['What', 'did', 'the', 'non-Afghan', 'veterans', 'returning', 'home', 'have', 'in', 'addition', 'to', 'their', 'prestige', '?', 'The', 'US', 'spent', 'billions', 'of', 'dollars', 'to', 'aid', 'the', 'mujahideen', 'Muslim', 'Afghanistan', 'enemies', 'of', 'the', 'Soviet', 'Union', ',', 'and', 'non-Afghan', 'veterans', 'of', 'the', 'war', 'returned', 'home', 'with', 'their', 'prestige', ',', '``', 'experience', ',', 'ideology', ',', 'and', 'weapons', ""''"", ',', 'and', 'had', 'considerable', 'impact']"	weapons	O	I-focus
23	"['What', 'did', 'the', 'non-Afghan', 'veterans', 'returning', 'home', 'have', 'in', 'addition', 'to', 'their', 'prestige', '?', 'The', 'US', 'spent', 'billions', 'of', 'dollars', 'to', 'aid', 'the', 'mujahideen', 'Muslim', 'Afghanistan', 'enemies', 'of', 'the', 'Soviet', 'Union', ',', 'and', 'non-Afghan', 'veterans', 'of', 'the', 'war', 'returned', 'home', 'with', 'their', 'prestige', ',', '``', 'experience', ',', 'ideology', ',', 'and', 'weapons', ""''"", ',', 'and', 'had', 'considerable', 'impact']"	considerable	B-focus	O
23	"['What', 'did', 'the', 'non-Afghan', 'veterans', 'returning', 'home', 'have', 'in', 'addition', 'to', 'their', 'prestige', '?', 'The', 'US', 'spent', 'billions', 'of', 'dollars', 'to', 'aid', 'the', 'mujahideen', 'Muslim', 'Afghanistan', 'enemies', 'of', 'the', 'Soviet', 'Union', ',', 'and', 'non-Afghan', 'veterans', 'of', 'the', 'war', 'returned', 'home', 'with', 'their', 'prestige', ',', '``', 'experience', ',', 'ideology', ',', 'and', 'weapons', ""''"", ',', 'and', 'had', 'considerable', 'impact']"	impact	I-focus	O
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	Due	B-focus	O
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	to	I-focus	O
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	its	I-focus	O
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	between	O	I-focus
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	the	O	I-focus
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	Commonwealth	O	I-focus
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	's	O	I-focus
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	capitals	O	I-focus
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	of	O	I-focus
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	Kraków	O	I-focus
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	and	O	I-focus
26	"['Why', 'did', 'Warsaw', 'become', 'the', 'capital', 'of', 'the', 'Commonwealth', '?', 'Due', 'to', 'its', 'central', 'location', 'between', 'the', 'Commonwealth', ""'s"", 'capitals', 'of', 'Kraków', 'and', 'Vilnius', ',', 'Warsaw', 'became', 'the', 'capital', 'of', 'the', 'Commonwealth', 'and', 'the', 'Crown', 'of', 'the', 'Kingdom', 'of', 'Poland', 'when', 'King', 'Sigismund', 'III', 'Vasa', 'moved', 'his', 'court', 'from', 'Kraków', 'to', 'Warsaw', 'in', '1596']"	Vilnius	O	I-focus
33	"['What', 'type', 'of', 'defense', 'is', 'sometimes', 'used', 'in', 'court', 'by', 'protestors', '?', 'Likewise', ',', 'when', 'Carter', 'Wentworth', 'was', 'charged', 'for', 'his', 'role', 'in', 'the', 'Clamshell', 'Alliance', ""'s"", '1977', 'illegal', 'occupation', 'of', 'the', 'Seabrook', 'Station', 'Nuclear', 'Power', 'Plant', ',', 'the', 'judge', 'instructed', 'the', 'jury', 'to', 'disregard', 'his', 'competing', 'harms', 'defense', ',', 'and', 'he', 'was', 'found', 'guilty']"	competing	B-focus	O
33	"['What', 'type', 'of', 'defense', 'is', 'sometimes', 'used', 'in', 'court', 'by', 'protestors', '?', 'Likewise', ',', 'when', 'Carter', 'Wentworth', 'was', 'charged', 'for', 'his', 'role', 'in', 'the', 'Clamshell', 'Alliance', ""'s"", '1977', 'illegal', 'occupation', 'of', 'the', 'Seabrook', 'Station', 'Nuclear', 'Power', 'Plant', ',', 'the', 'judge', 'instructed', 'the', 'jury', 'to', 'disregard', 'his', 'competing', 'harms', 'defense', ',', 'and', 'he', 'was', 'found', 'guilty']"	defense	I-focus	O
35	"['What', 'was', 'redesigned', 'during', 'the', 'Apollo', 'program', 'being', 'grounded', 'during', '1970', '?', 'But', 'two', 'days', 'out', ',', 'a', 'liquid', 'oxygen', 'tank', 'exploded', ',', 'disabling', 'the', 'Service', 'Module', 'and', 'forcing', 'the', 'crew', 'to', 'use', 'the', 'LM', 'as', 'a', '``', 'life', 'boat', ""''"", 'to', 'return', 'to', 'Earth']"	oxygen	B-focus	O
